gene,expression/ZAM_root_1.txt,expression/ZAM_root_2.txt,expression/ZAM_root_3.txt,expression/ZAM_tip_leaf_1.txt,expression/ZAM_tip_leaf_2.txt,expression/ZAM_tip_leaf_3.txt,average root,average tip leaf,average overall,donor,sd.root,se.root,sd.tip.leaf,se.tip.leaf
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
"ZAM150510-39086,ZAM150510-56345,ZAM150510-28242",24.92,35.83333333,31.26666667,4.231666667,5.494,6.509,30.67333333,5.411555556,18.04244444,Cenchrinae,4.475060106,3.164345347,0.931543376,0.658700638
"ZAM150510-05565,ZAM150510-09253,ZAM150510-32394,ZAM150510-32384,ZAM150510-32392",1.1182,0.6816,0.5878,1.966,2.39,1.6176,0.795866667,1.9912,1.393533333,,0.231118575,0.163425511,0.315834049,0.223328398
"ZAM150510-48416,ZAM150510-35515",12.475,14.24,7.32,9.085,7.34,8.43,11.345,8.285,9.815,Tristachyideae,2.935901338,2.075995745,0.719733747,0.508928613
"ZAM150510-18419,ZAM150510-18421,ZAM150510-34469,ZAM150510-62250",0.42825,0.06275,0.70375,1.507,0.7427,2.711,0.39825,1.653566667,1.025908333,Chloridoideae,0.262545552,0.18564774,0.810210904,0.572905624
ZAM150510-39780,186,227,316,172,191,155,243,172.6666667,207.8333333,Cenchrinae,54.26478293,38.37099599,14.70449667,10.39764931
"ZAM150510-09253,ZAM150510-32394,ZAM150510-32384,ZAM150510-32392",0.70775,0.65925,0.73475,2.1775,2.82,1.9315,0.700583333,2.309666667,1.505125,Cenchrinae,0.031236553,0.022087578,0.374574499,0.264864169
"ZAM150510-19467,ZAM150510-47389",0,0,0,0,0,0,0,0,0,,0,0,0,0
"ZAM150510-01874,ZAM150510-24685",4.02,2.245,1.2495,0.8915,1.811,1.0235,2.504833333,1.242,1.873416667,,1.145877417,0.810257692,0.405936571,0.287040502
"ZAM150510-01873,ZAM150510-24686",21.9,28.8,26.05,24.55,25.65,21.85,25.58333333,24.01666667,24.8,,2.836175046,2.005478607,1.596524002,1.128912948
ZAM150510-26137,34.9,35.7,27.6,28,28.4,47.5,32.73333333,34.63333333,33.68333333,,3.64447832,2.577035334,9.09957264,6.434369519
"ZAM150510-14455,ZAM150510-31810",8.12,5.8,11.2,8.84,8.24,7.26,8.373333333,8.113333333,8.243333333,Cenchrinae,2.211806702,1.563983518,0.651221075,0.460482838
"ZAM150510-01443,ZAM150510-64867",48.35,63.95,59.75,101.65,110.85,74.05,57.35,95.51666667,76.43333333,Cenchrinae,6.590902821,4.660472079,15.63699318,11.05702391
"ZAM150510-09461,ZAM150510-00508",0.7805,0.7975,0,1.0545,1.465,1.23,0.526,1.249833333,0.887916667,Andropogoneae,0.372002912,0.263045782,0.168171705,0.118915353
"ZAM150510-14204,ZAM150510-63641",14.409,12.65,6.25,10.86,10.05,14.33,11.103,11.74666667,11.42483333,Andropogoneae,3.505921372,2.479060776,1.856382384,1.312660572
