probe,time_of_day,warm_cold,treatment,species,species_treatment,timepoint,FW,VNaOH,FA,average_FA,replicate,,
GOR9III,evening,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),3,57,42,25.78947368,,9,,
GOR9III,evening,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),3,57,45,27.63157895,,9,,
LEU11III,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,56.9,242,148.857645,,11,,
LEU11III,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,56.9,262,161.1599297,,11,,
LEU11III,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,56.9,252,155.0087873,,11,,
LEU11III,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,55.7,64,40.21543986,,11,,
LEU11III,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,55.7,74,46.49910233,,11,,
LEU11III,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,55.7,76,47.75583483,,11,,
LEU12III ,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,58,266,160.5172414,,12,,
LEU12III ,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,58,302,182.2413793,,12,,
LEU12III ,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,58,298,179.8275862,,12,,
LEU12III ,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,54.9,64,40.80145719,,12,,
LEU12III ,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,54.9,58,36.97632058,,12,,
LEU12III ,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,54.9,56,35.70127505,,12,,
LEU13III,morning,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),3,55,220,140,,11,,
LEU13III,morning,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),3,55,210,133.6363636,,11,,
LEU13III,morning,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),3,55,226,143.8181818,,11,,
LEU13III,evening,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),3,57.9,68,41.10535406,,11,,
